"r_w [mm]","Freq [GHz]","dB(S(Port1,Port1)) []"
1.077,3.25,-28.0113344257443
1.077,3.255,-28.0241509216742
1.077,3.26,-28.03710733823
1.077,3.265,-28.0502036875769
1.077,3.27,-28.0634399748932
1.077,3.275,-28.0768161982646
1.077,3.28,-28.0903323485779
1.077,3.285,-28.1039884094137
1.077,3.29,-28.1177843569374
1.077,3.295,-28.1317201597897
1.077,3.3,-28.1457957789764
1.077,3.305,-28.1600111677561
1.077,3.31,-28.1743662715277
1.077,3.315,-28.1888610277163
1.077,3.32,-28.2034953656583
1.077,3.325,-28.218269206485
1.077,3.33,-28.233182463005
1.077,3.335,-28.2482350395862
1.077,3.34,-28.2634268320355
1.077,3.345,-28.2787577274779
1.077,3.35,-28.2942276042343
1.077,3.355,-28.3098363316981
1.077,3.36,-28.32558377021
1.077,3.365,-28.3414697709324
1.077,3.37,-28.3574941757217
1.077,3.375,-28.3736568169996
1.077,3.38,-28.3899575176231
1.077,3.385,-28.4063960907527
1.077,3.39,-28.4229723397201
1.077,3.395,-28.4396860578933
1.077,3.4,-28.4565370285413
1.077,3.405,-28.473525024697
1.077,3.41,-28.4906498090182
1.077,3.415,-28.5079111336477
1.077,3.42,-28.5253087400717
1.077,3.425,-28.5428423589765
1.077,3.43,-28.5605117101043
1.077,3.435,-28.5783165021062
1.077,3.44,-28.5962564323949
1.077,3.445,-28.6143311869951
1.077,3.45,-28.6325404403926
1.077,3.455,-28.6508838553814
1.077,3.46,-28.6693610829096
1.077,3.465,-28.6879717619234
1.077,3.47,-28.7067155192092
1.077,3.475,-28.7255919692346
1.077,3.48,-28.7446007139872
1.077,3.485,-28.7637413428118
1.077,3.49,-28.7830134322459
1.077,3.495,-28.8024165458533
1.077,3.5,-28.8219502340567
1.077,3.505,-28.841614033967
1.077,3.51,-28.8614074692126
1.077,3.515,-28.8813300497654
1.077,3.52,-28.9013812717661
1.077,3.525,-28.9215606173472
1.077,3.53,-28.9418675544539
1.077,3.535,-28.9623015366641
1.077,3.54,-28.9828620030057
1.077,3.545,-29.0035483777724
1.077,3.55,-29.0243600703378
1.077,3.555,-29.0452964749677
1.077,3.56,-29.0663569706302
1.077,3.565,-29.0875409208045
1.077,3.57,-29.1088476732877
1.077,3.575,-29.1302765599996
1.077,3.58,-29.151826896786
1.077,3.585,-29.1734979832201
1.077,3.59,-29.1952891024025
1.077,3.595,-29.2171995207583
1.077,3.6,-29.2392284878345
1.077,3.605,-29.2613752360935
1.077,3.61,-29.2836389807064
1.077,3.615,-29.3060189193443
1.077,3.62,-29.3285142319677
1.077,3.625,-29.3511240806145
1.077,3.63,-29.3738476091864
1.077,3.635,-29.3966839432343
1.077,3.64,-29.4196321897408
1.077,3.645,-29.4426914369034
1.077,3.65,-29.4658607539144
1.077,3.655,-29.4891391907401
1.077,3.66,-29.5125257778998
1.077,3.665,-29.5360195262415
1.077,3.67,-29.5596194267185
1.077,3.675,-29.5833244501634
1.077,3.68,-29.6071335470622
1.077,3.685,-29.6310456473265
1.077,3.69,-29.655059660066
1.077,3.695,-29.6791744733586
1.077,3.7,-29.7033889540217
1.077,3.705,-29.7277019473816
1.077,3.71,-29.7521122770428
1.077,3.715,-29.7766187446568
1.077,3.72,-29.8012201296913
1.077,3.725,-29.8259151891982
1.077,3.73,-29.8507026575823
1.077,3.735,-29.8755812463701
1.077,3.74,-29.9005496439783
1.077,3.745,-29.9256065154832
1.077,3.75,-29.9507505023904
1.077,3.755,-29.9759802224055
1.077,3.76,-30.0012942692047
1.077,3.765,-30.0266912122079
1.077,3.77,-30.0521695963514
1.077,3.775,-30.0777279418633
1.077,3.78,-30.1033647440392
1.077,3.785,-30.1290784730211
1.077,3.79,-30.1548675735766
1.077,3.795,-30.1807304648817
1.077,3.8,-30.206665540305
1.077,3.805,-30.2326711671952
1.077,3.81,-30.2587456866707
1.077,3.815,-30.284887413413
1.077,3.82,-30.3110946354628
1.077,3.825,-30.3373656140202
1.077,3.83,-30.3636985832487
1.077,3.835,-30.3900917500826
1.077,3.84,-30.41654329404
1.077,3.845,-30.4430513670395
1.077,3.85,-30.4696140932224
1.077,3.855,-30.4962295687802
1.077,3.86,-30.5228958617875
1.077,3.865,-30.5496110120413
1.077,3.87,-30.5763730309059
1.077,3.875,-30.6031799011651
1.077,3.88,-30.6300295768813
1.077,3.885,-30.6569199832619
1.077,3.89,-30.6838490165328
1.077,3.895,-30.7108145438214
1.077,3.9,-30.7378144030467
1.077,3.905,-30.7648464028195
1.077,3.91,-30.7919083223506
1.077,3.915,-30.8189979113702
1.077,3.92,-30.8461128900564
1.077,3.925,-30.8732509489744
1.077,3.93,-30.9004097490274
1.077,3.935,-30.927586921418
1.077,3.94,-30.9547800676222
1.077,3.945,-30.9819867593757
1.077,3.95,-31.0092045386727
1.077,3.955,-31.0364309177782
1.077,3.96,-31.0636633792542
1.077,3.965,-31.0908993759998
1.077,3.97,-31.1181363313069
1.077,3.975,-31.1453716389296
1.077,3.98,-31.1726026631712
1.077,3.985,-31.1998267389858
1.077,3.99,-31.2270411720979
1.077,3.995,-31.2542432391379
1.077,4,-31.2814301877971
1.077,4.005,-31.3085992369988
1.077,4.01,-31.3357475770902
1.077,4.015,-31.362872370052
1.077,4.02,-31.3899707497286
1.077,4.025,-31.417039822078
1.077,4.03,-31.444076665443
1.077,4.035,-31.4710783308431
1.077,4.04,-31.4980418422883
1.077,4.045,-31.5249641971151
1.077,4.05,-31.5518423663451
1.077,4.055,-31.5786732950664
1.077,4.06,-31.6054539028395
1.077,4.065,-31.6321810841258
1.077,4.07,-31.6588517087416
1.077,4.075,-31.6854626223367
1.077,4.08,-31.7120106468975
1.077,4.085,-31.738492581277
1.077,4.09,-31.7649052017494
1.077,4.095,-31.7912452625919
1.077,4.1,-31.8175094966931
1.077,4.105,-31.8436946161875
1.077,4.11,-31.8697973131183
1.077,4.115,-31.8958142601272
1.077,4.12,-31.9217421111714
1.077,4.125,-31.9475775022695
1.077,4.13,-31.9733170522746
1.077,4.135,-31.9989573636759
1.077,4.14,-32.0244950234291
1.077,4.145,-32.0499266038141
1.077,4.15,-32.0752486633224
