corte,expressao,posicao_mm,valor
x,Mag_H,2.364,39.42964766374831
x,Mag_H,2.368,39.01491814207766
x,Mag_H,2.372,38.60409228962639
x,Mag_H,2.376,38.19715362910244
x,Mag_H,2.38,37.79408645876017
x,Mag_H,2.384,37.39487585240008
x,Mag_H,2.388,36.99950765936875
x,Mag_H,2.392,36.607968504558855
x,Mag_H,2.3959999999999995,36.220245788409386
x,Mag_H,2.4,35.83632768690542
x,Mag_H,2.404,35.45620315157822
x,Mag_H,2.408,35.07986190950521
x,Mag_H,2.412,34.70729446330993
x,Mag_H,2.4159999999999995,34.33849209116206
x,Mag_H,2.42,33.97344684677767
x,Mag_H,2.424,33.61215155941865
x,Mag_H,2.428,33.254599833893366
x,Mag_H,2.432,32.90078605055599
x,Mag_H,2.436,32.55070536530734
x,Mag_H,2.44,32.20435370959387
x,Mag_H,2.444,31.861727790408544
x,Mag_H,2.448,31.522825090290425
x,Mag_H,2.4519999999999995,31.18764386732472
x,Mag_H,2.456,30.856183155142745
x,Mag_H,2.46,30.52844276292194
x,Mag_H,2.464,30.2044232753861
x,Mag_H,2.468,29.884126052804938
x,Mag_H,2.472,29.567553230994584
x,Mag_H,2.476,29.254707721317136
x,Mag_H,2.48,28.945593210680887
x,Mag_H,2.484,28.640214161540396
x,Mag_H,2.488,28.338575811896266
x,Mag_H,2.492,28.040684175295308
x,Mag_H,2.496,27.74654604083048
x,Mag_H,2.5,27.456168973140954
x,Mag_H,2.504,27.169561312411982
x,Mag_H,2.5079999999999996,26.88673217437501
x,Mag_H,2.512,26.607691450307666
x,Mag_H,2.516,26.332449807033754
x,Mag_H,2.52,26.06101868692323
x,Mag_H,2.524,25.79341030789213
x,Mag_H,2.528,25.52963766340284
x,Mag_H,2.532,25.269714522463595
x,Mag_H,2.536,25.013655429629164
x,Mag_H,2.54,24.761475705000183
x,Mag_H,2.544,24.513191444223608
x,Mag_H,2.548,24.268819518492503
x,Mag_H,2.552,24.02837757454608
x,Mag_H,2.556,23.791884034669817
x,Mag_H,2.56,23.55935809669518
x,Mag_H,2.5639999999999996,23.330819733999874
x,Mag_H,2.568,23.106289695507897
x,Mag_H,2.572,22.88578950568921
x,Mag_H,2.576,22.66934146456001
x,Mag_H,2.58,22.456968647682668
x,Mag_H,2.584,22.248694906165753
x,Mag_H,2.588,22.04454486666397
x,Mag_H,2.592,21.844543931378116
x,Mag_H,2.596,21.64871827805516
x,Mag_H,2.5999999999999996,21.457094859988395
x,Mag_H,2.604,21.26970140601713
x,Mag_H,2.608,21.08656642052676
x,Mag_H,2.612,20.907719183449064
x,Mag_H,2.616,20.733189750261815
x,Mag_H,2.6199999999999997,20.563008951988994
x,Mag_H,2.624,20.397208395200746
x,Mag_H,2.628,20.23582046201344
x,Mag_H,2.632,20.07887831008942
x,Mag_H,2.636,19.926415872637502
x,Mag_H,2.64,19.778467858412263
