corte,posicao_mm,Mag_H_A_per_m
x,2.7880000000000003,17.43581608991725
x,2.7920000000000003,17.317326750962476
x,2.7960000000000003,17.20584909671323
x,2.8000000000000003,17.10144909838961
x,2.804,17.004197204630092
x,2.8080000000000003,16.914168341491077
x,2.8120000000000003,16.831441912447296
x,2.816,16.756101798391597
x,2.82,16.688236357634917
x,2.824,16.627938425906425
x,2.828,16.57530531635343
x,2.832,16.530438819541335
x,2.836,16.493445203453852
x,2.8399999999999994,16.464435213492692
x,2.844,16.443524072477807
x,2.848,16.400549318744577
x,2.852,16.309246921968196
x,2.856,16.218455306377965
x,2.8599999999999994,16.128178492034863
x,2.864,16.038420418944508
x,2.868,15.949184947056683
